id;initial;pref;pref1;pref2;textP1;textP2;textP22;textP3;valueP11;valueP12;nextSt1;nextSt2;valueP21;valueP22;refMBTIQ;phraseAgainstPref1_PT;phraseAgainstPref2_PT;phraseFavour_PT;phraseAgainstPref1_EN;phraseAgainstPref2_EN;phraseFavour_EN
18;DG9;-;l;r;Aceitas a bebida.;Recusas a bebida;Accept the drink.;Refuse the drink.;1;0;16;16;0;1;0;Aconselho a não aceitar, pois pode ser de um inimigo.;Não há a necessidade de recusar a bebida, ele faz parte do nosso povo.;Mantenhas essas decisões.;Aconselho a não aceitar, pois pode ser de um inimigo.;Não há a necessidade de recusar a bebida, ele faz parte do nosso povo.;Keep these decisions.
19;DP27;jp;j;p;Contrariando alguns conselheiros, envias um espião para verificar se é um exército aliado.;Acreditas que são aliados e mandas as tuas tropas recebê-los.;Contrary to your council’s advice you send a spy to verify they are allies.;You believe they are allies and send troops to welcome them.;0.73;0.23;17;28;0.27;0.77;7;Aconselho a enviar uma tropa rapidamente e assim garantir a vitória.;Cuidado pois podemos ficar sem exército suficiente para nos proteger.;Estou de acordo com esta decisão.;Aconselho a enviar uma tropa rapidamente e assim garantir a vitória.;Cuidado pois podemos ficar sem exército suficiente para nos proteger.;I agree with this decision.
20;DP28;sn;s;n;Envias metade do teu exército para ajudar os aliados.;Envias todo o teu exército para ajudar os aliados.;Send the half of our army to help our allies.;Send the entire army to help the allies.;0.81;0.31;18;29;0.18;0.69;44;Apenas com metade não seremos vitóriosos.;Ficaremos fracos e desprotegidos.;Entendo seu ponto de vista e concordo.;Apenas com metade não seremos vitóriosos.;Ficaremos fracos e desprotegidos.;I understand your point of view and agree with it.
21;DP29;ei;e;i;Vais imediatamente ao acampamento aliado convidá-los para o banquete da vitória.;Escreves um convite e mandas um mensageiro entregar ao líder aliado para o banquete da vitória.;Immediately go to the allied camp inviting them for a feast of victory.;Write an invitation for a feast and ask a messenger to deliver it to your allies.;0.71;0.33;30;30;0.29;0.66;22;Aconselho a ainda não sair das proteções da cidade.;Aconselho a ir pessoalmente e parabenizar pela vitoria.;Eu completamente concordo contigo.;Aconselho a ainda não sair das proteções da cidade.;Aconselho a ir pessoalmente e parabenizar pela vitoria.;Definitely, this will help people.
22;DP30;ei;e;i;Chamas o líder inimigo para tratar dos termos de rendição.;Aguardas que o líder inimigo faça o primeiro contacto.;Call the enemy's leader to negotiate the surrender terms.;Wait for the enemy’s leader to make the first contact.;0.94;0.26;19;19;0.07;0.74;29;Acho que não deves se expor a esse estranho.;Acredito que deves ir pessoalmente falar com esse estranho.;Explendido. Com esta decisão vais salvar a população.;Acho que não deves se expor a esse estranho.;Acredito que deves ir pessoalmente falar com esse estranho.;Wonderful. With this decision, you will save the people.
23;DP31;ft;f;t;Recusas o convite e envias um mensageiro com um convite para que o outro líder venha-te visitar.;Agradeces o convite, porém, envias um mensageiro com um convite para que o outro líder venha-te visitar.;Refuse the invitation and send back the messenger to invite his leader to your country instead.;You thank the invitation, however, you send a messenger to inform The enemy's leader to come visit you instead.;0.85;0.39;6;6;0.15;0.61;33;Acredito que deverias ser mais diplomático.;Acredito que não deves mostrar diplomacia com o inimigo.;Brilhante. Não espero outra decisão.;Acredito que deverias ser mais diplomático.;Acredito que não deves mostrar diplomacia com o inimigo.;Brilliant. I did not expect another decision.
24;DG10;-;l;r;A ameaça é verdadeira.;A ameaça pode ser verdadeira.;The threat is real.;The threat might be real.;1;0;21;21;0;1;0;Não deverias assustar o povo.;Não deverias assustar o povo.;Pessoalmente, esta é a minha decisão favorita.;Não deverias assustar o povo.;Não deverias assustar o povo.;Personally, this is my favourite decision.
25;DG11;-;l;r;Contas uma piada.;Perguntas sobre a família.;Tell a joke.;Ask about his family.;1;0;24;24;0;1;0;Aconselho a não tentar amizade com o inimigo.;Aconselho a não saber sobre a família.;Esta decisão está completamente correta.;Aconselho a não tentar amizade com o inimigo.;Aconselho a não saber sobre a família.;This decision is correct.
26;DG14;-;l;r;Estendes a mão.;Diz um até logo.;Reach out for a handshake.;Say farewell.;1;0;10;10;0;1;0;Aconselho a não tocar no inimigo, pois ele pode tentar algo.;Aconselho a ter mais diplomacia e apertar a mão do inimigo.;Eu recomendo fortemente a confirmar esta decisão.;Aconselho a não tocar no inimigo, pois ele pode tentar algo.;Aconselho a ter mais diplomacia e apertar a mão do inimigo.;I strongly advise confirming this decision.
27;DG19;-;l;r;Aceita a bebida.;Recusa a bebida.;Accept the drink.;Refuse the drink.;1;0;32;32;0;1;0;Aconselho a não aceitar, pois pode ser de um inimigo.;Não há a necessidade de recusar a bebida, ele faz parte do nosso povo.;Esta é a melhor decisão a ser tomada. ;Aconselho a não aceitar, pois pode ser de um inimigo.;Não há a necessidade de recusar a bebida, ele faz parte do nosso povo.;This is the best decision to be taken.
28;DP32;sn;s;n;Diante dos factos, decides-te render ao inimigo ao invés de seres morto.;Segues os teus princípios de jamais te renderes.;In front of the facts, you decide to surrender to the enemy instead of being killed.;You follow your principles of never surrender.;0.81;0.31;37;38;0.18;0.69;44;Recomendo que deves ser líder e jamais se render.;Devias negociar pois teu povo depende de ti.;Estou de acordo com esta decisão.;Recomendo que deves ser líder e jamais se render.;Devias negociar pois teu povo depende de ti.;I agree with this decision.
29;DP33;jp;j;p;Resolves mudar de decisão.;Manténs a decisão tomada.;You decide to change the decision.;You keep your decision.;0.79;0.28;11;11;0.21;0.72;20;Acredito que não deves mudar de opinião pois isso mostra fraquesa.;Acredito que deves mudar de decisão.;Entendo seu ponto de vista e concordo.;Acredito que não deves mudar de opinião pois isso mostra fraquesa.;Acredito que deves mudar de decisão.;I understand your point of view and agree with it.
30;DP34;sn;s;n;Acreditas não ser possível bloquear o acesso.;Tens algumas ideias de como bloquear o acesso.;You believe that is impossible to block the access.;You have ideas on how to block the access.;0.83;0.27;27;27;0.17;0.73;58;Acredito que há várias ideias para bloquear os acessos pense melhor.;Acredito que agora não há mais como defender o acesso.;Eu completamente concordo contigo.;Acredito que há várias ideias para bloquear os acessos pense melhor.;Acredito que agora não há mais como defender o acesso.;Definitely, this will help people.
31;DP36;ei;e;i;Perguntas para cada um dos conselheiros o que deve ser feito.;Aguardas que um conselheiro venha dizer algo.;You ask each counsellor what should be done.;You wait a counsellor say something.;0.94;0.26;40;40;0.07;0.74;29;Não deves interagir com todos do conselho apenas um deve falar.;Deverias saber a opinião de cada um do conselho.;Explendido. Com esta decisão vais salvar a população.;Não deves interagir com todos do conselho apenas um deve falar.;Deverias saber a opinião de cada um do conselho.;Wonderful. With this decision, you will save the people.
